display  D   display_settings.c:191  debug_display_settings           [   0.21390] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21392] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21395] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21397] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21399] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21402] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21404] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21406] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21408] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21411] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21413] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21416] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21418] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21421] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21423] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21426] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21428] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21430] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21433] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21435] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21440] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21442] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21445] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21447] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21451] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21454] Single Buffer requirement not met.
